chromosome,HindIII fragment,chromosome,HindIII fragment,sequence frequency,P value,Q value
1,108107,4,461284,34,"3,17E-10","1,64E-07"
1,108107,4,467170,9,"4,80E-09","5,47E-06"
1,108107,4,472969,9,"2,10E-07","3,01E-05"
1,108107,4,480092,11,"1,56E-09","4,62E-07"
1,108107,4,484972,8,"7,14E-08","4,74E-05"
1,108107,4,487670,45,"3,17E-10","1,64E-07"
1,108107,4,489872,6,"2,03E-04","8,01E-03"
1,108107,4,494001,19,"3,17E-10","1,64E-07"
1,108107,4,499987,17,"3,17E-10","1,64E-07"
1,108107,4,524181,8,"2,34E-06","2,23E-04"
1,108107,4,527622,6,"2,03E-04","8,01E-03"
1,108107,4,554262,7,"2,32E-05","1,44E-03"
1,108107,4,560084,6,"2,03E-04","8,01E-03"
1,108107,4,570914,7,"2,32E-05","1,44E-03"
1,108107,4,607317,11,"1,56E-09","4,62E-07"
1,108107,4,625575,11,"1,56E-09","4,62E-07"
1,108107,4,653783,10,"1,73E-08","3,62E-06"
1,108107,4,658689,7,"2,32E-05","1,44E-03"
1,108107,4,664701,6,"2,03E-04","8,01E-03"
1,108107,4,743625,11,"1,56E-09","4,62E-07"
1,108107,4,747243,6,"2,03E-04","8,01E-03"
1,108107,4,832307,6,"2,03E-04","8,01E-03"
1,108107,4,1057641,7,"2,32E-05","1,44E-03"
1,108107,4,1138740,9,"2,10E-07","3,01E-05"
1,108107,4,1430551,6,"2,03E-04","8,01E-03"
1,116051,4,40139,6,"2,03E-04","8,01E-03"
1,116051,4,77530,6,"2,03E-04","8,01E-03"
1,116051,4,89288,6,"2,03E-04","8,01E-03"
1,116051,4,94024,7,"2,32E-05","1,44E-03"
1,116051,4,185966,6,"2,03E-04","8,01E-03"
1,116051,4,208633,6,"2,03E-04","8,01E-03"
1,116051,4,246017,7,"2,32E-05","1,44E-03"
1,116051,4,261511,6,"1,56E-05","2,87E-03"
1,116051,4,310992,11,"1,56E-09","4,62E-07"
1,116051,4,353766,11,"1,56E-09","4,62E-07"
1,116051,4,360935,6,"1,56E-05","2,87E-03"
1,116051,4,368330,13,"3,22E-10","1,64E-07"
1,116051,4,374028,11,"1,56E-09","4,62E-07"
1,116051,4,384476,6,"2,03E-04","8,01E-03"
1,116051,4,393856,17,"3,17E-10","1,64E-07"
1,116051,4,400135,10,"1,73E-08","3,62E-06"
1,116051,4,413878,20,"3,17E-10","1,64E-07"
1,116051,4,420885,9,"2,10E-07","3,01E-05"
1,116051,4,426208,18,"3,17E-10","1,64E-07"
1,116051,4,431281,10,"1,73E-08","3,62E-06"
1,116051,4,432170,6,"2,03E-04","8,01E-03"
1,116051,4,432918,6,"2,03E-04","8,01E-03"
1,116051,4,436612,12,"4,01E-10","1,64E-07"
1,116051,4,438813,13,"3,22E-10","1,64E-07"
1,116051,4,440905,12,"4,01E-10","1,64E-07"
1,116051,4,447899,6,"2,03E-04","8,01E-03"
1,116051,4,450199,14,"3,17E-10","1,64E-07"
1,116051,4,452531,9,"2,10E-07","3,01E-05"
1,116051,4,454894,16,"3,17E-10","1,64E-07"
1,116051,4,461284,14,"3,17E-10","1,64E-07"
1,116051,4,480092,17,"3,17E-10","1,64E-07"
1,116051,4,487670,16,"3,17E-10","1,64E-07"
1,116051,4,489872,7,"2,32E-05","1,44E-03"
1,116051,4,494001,15,"3,17E-10","1,64E-07"
1,116051,4,498070,7,"2,32E-05","1,44E-03"
1,116051,4,499987,6,"2,03E-04","8,01E-03"
1,116051,4,520988,7,"2,32E-05","1,44E-03"
1,116051,4,524181,6,"2,03E-04","8,01E-03"
1,116051,4,527622,6,"2,03E-04","8,01E-03"
1,116051,4,570914,6,"1,56E-05","2,87E-03"
1,116051,4,597472,6,"2,03E-04","8,01E-03"
1,116051,4,602889,8,"2,34E-06","2,23E-04"
1,116051,4,674939,7,"2,32E-05","1,44E-03"
1,116051,4,1169924,6,"2,03E-04","8,01E-03"
1,120304,4,30598,6,"2,03E-04","8,01E-03"
1,120304,4,43772,6,"2,03E-04","8,01E-03"
1,120304,4,314016,8,"2,34E-06","2,23E-04"
1,120304,4,353766,13,"3,22E-10","1,64E-07"
1,120304,4,393856,14,"3,17E-10","1,64E-07"
1,120304,4,400135,15,"3,17E-10","1,64E-07"
1,120304,4,406139,8,"7,14E-08","4,74E-05"
1,120304,4,413878,29,"3,17E-10","1,64E-07"
1,120304,4,426208,13,"3,22E-10","1,64E-07"
1,120304,4,431281,9,"2,10E-07","3,01E-05"
1,120304,4,434783,8,"7,14E-08","4,74E-05"
1,120304,4,436612,16,"3,17E-10","1,64E-07"
1,120304,4,438813,8,"2,34E-06","2,23E-04"
1,120304,4,440905,9,"2,10E-07","3,01E-05"
1,120304,4,444094,7,"2,32E-05","1,44E-03"
1,120304,4,445991,8,"2,34E-06","2,23E-04"
1,120304,4,447899,11,"1,56E-09","4,62E-07"
1,120304,4,450199,10,"1,73E-08","3,62E-06"
1,120304,4,452531,12,"4,01E-10","1,64E-07"
1,120304,4,454894,20,"3,17E-10","1,64E-07"
1,120304,4,461284,20,"3,17E-10","1,64E-07"
1,120304,4,480092,8,"2,34E-06","2,23E-04"
1,120304,4,487670,9,"2,10E-07","3,01E-05"
1,120304,4,494001,8,"2,34E-06","2,23E-04"
1,120304,4,524181,10,"1,73E-08","3,62E-06"
1,120304,4,527622,12,"4,01E-10","1,64E-07"
1,120304,4,549904,6,"1,56E-05","2,87E-03"
1,120304,4,553574,6,"2,03E-04","8,01E-03"
1,120304,4,740555,6,"2,03E-04","8,01E-03"
1,120304,4,804523,7,"2,32E-05","1,44E-03"
1,122059,4,400135,6,"1,56E-05","2,87E-03"
1,122059,4,494001,6,"1,56E-05","2,87E-03"
1,122885,4,208633,6,"2,03E-04","8,01E-03"
1,122885,4,400135,9,"2,10E-07","3,01E-05"
1,122885,4,431281,9,"2,10E-07","3,01E-05"
1,122885,4,432170,6,"2,03E-04","8,01E-03"
1,122885,4,444094,10,"1,73E-08","3,62E-06"
1,122885,4,450199,6,"2,03E-04","8,01E-03"
1,122885,4,454894,7,"2,32E-05","1,44E-03"
1,122885,4,461284,10,"1,73E-08","3,62E-06"
1,122885,4,524181,7,"2,32E-05","1,44E-03"
1,125166,4,393856,11,"1,56E-09","4,62E-07"
1,125166,4,400135,6,"2,03E-04","8,01E-03"
1,125166,4,413878,10,"1,73E-08","3,62E-06"
1,125166,4,426208,7,"1,12E-06","4,06E-04"
1,125166,4,432170,7,"1,12E-06","4,06E-04"
1,125166,4,436612,6,"2,03E-04","8,01E-03"
1,125166,4,440905,6,"2,03E-04","8,01E-03"
1,125166,4,454894,13,"3,22E-10","1,64E-07"
1,125166,4,461284,17,"3,17E-10","1,64E-07"
1,125166,4,480092,10,"1,73E-08","3,62E-06"
1,125166,4,487670,6,"2,03E-04","8,01E-03"
1,125166,4,499987,7,"1,12E-06","4,06E-04"
1,125166,4,524181,6,"2,03E-04","8,01E-03"
1,130646,4,133516,9,"2,10E-07","3,01E-05"
1,130646,4,213340,7,"2,32E-05","1,44E-03"
1,130646,4,353766,8,"2,34E-06","2,23E-04"
1,130646,4,374028,6,"2,03E-04","8,01E-03"
1,130646,4,384476,12,"4,01E-10","1,64E-07"
1,130646,4,393856,10,"1,73E-08","3,62E-06"
1,130646,4,400135,21,"3,17E-10","1,64E-07"
1,130646,4,404105,6,"1,56E-05","2,87E-03"
1,130646,4,413878,23,"3,17E-10","1,64E-07"
1,130646,4,420885,10,"1,73E-08","3,62E-06"
1,130646,4,426208,10,"1,03E-09","1,91E-06"
1,130646,4,431281,8,"2,34E-06","2,23E-04"
1,130646,4,432170,11,"1,56E-09","4,62E-07"
1,130646,4,432918,13,"3,22E-10","1,64E-07"
1,130646,4,436612,17,"3,17E-10","1,64E-07"
1,130646,4,438813,15,"3,17E-10","1,64E-07"
1,130646,4,440905,13,"3,22E-10","1,64E-07"
1,130646,4,444094,10,"1,73E-08","3,62E-06"
1,130646,4,445991,9,"2,10E-07","3,01E-05"
1,130646,4,447899,9,"2,10E-07","3,01E-05"
1,130646,4,450199,15,"3,17E-10","1,64E-07"
1,130646,4,454894,31,"3,17E-10","1,64E-07"
1,130646,4,461284,16,"3,17E-10","1,64E-07"
1,130646,4,472969,11,"1,56E-09","4,62E-07"
1,130646,4,480092,17,"3,17E-10","1,64E-07"
1,130646,4,487670,26,"3,17E-10","1,64E-07"
1,130646,4,489872,6,"2,03E-04","8,01E-03"
1,130646,4,494001,8,"2,34E-06","2,23E-04"
1,130646,4,524181,6,"2,03E-04","8,01E-03"
1,130646,4,539880,8,"2,34E-06","2,23E-04"
1,130646,4,713749,8,"2,34E-06","2,23E-04"
1,130646,4,817119,6,"2,03E-04","8,01E-03"
1,130646,4,902482,7,"1,12E-06","4,06E-04"
1,130646,4,1119460,7,"2,32E-05","1,44E-03"
1,130646,4,1461410,7,"1,12E-06","4,06E-04"
1,134566,4,225093,6,"2,03E-04","8,01E-03"
1,134566,4,420885,10,"1,73E-08","3,62E-06"
1,134566,4,432170,13,"3,22E-10","1,64E-07"
1,134566,4,436612,7,"2,32E-05","1,44E-03"
1,134566,4,444094,8,"2,34E-06","2,23E-04"
1,134566,4,445991,10,"1,73E-08","3,62E-06"
1,134566,4,447899,6,"2,03E-04","8,01E-03"
1,134566,4,450199,6,"2,03E-04","8,01E-03"
1,134566,4,454894,11,"1,56E-09","4,62E-07"
1,134566,4,461284,12,"4,01E-10","1,64E-07"
1,134566,4,487670,13,"3,22E-10","1,64E-07"
1,134566,4,494001,7,"2,32E-05","1,44E-03"
1,134566,4,625575,6,"2,03E-04","8,01E-03"
1,140853,4,400135,7,"2,32E-05","1,44E-03"
1,140853,4,438813,6,"2,03E-04","8,01E-03"
1,140853,4,440905,9,"4,80E-09","5,47E-06"
1,140853,4,444094,6,"2,03E-04","8,01E-03"
1,140853,4,445991,6,"2,03E-04","8,01E-03"
1,140853,4,447899,7,"1,12E-06","4,06E-04"
1,140853,4,450199,8,"2,34E-06","2,23E-04"
1,140853,4,452531,10,"1,73E-08","3,62E-06"
1,140853,4,458576,6,"1,56E-05","2,87E-03"
1,140853,4,461284,7,"2,32E-05","1,44E-03"
1,140853,4,494001,6,"2,03E-04","8,01E-03"
1,140853,4,570914,6,"1,56E-05","2,87E-03"
1,147791,4,393856,10,"1,73E-08","3,62E-06"
1,147791,4,413878,9,"2,10E-07","3,01E-05"
1,147791,4,420885,7,"2,32E-05","1,44E-03"
1,147791,4,426208,14,"3,17E-10","1,64E-07"
1,147791,4,436612,26,"3,17E-10","1,64E-07"
1,147791,4,444094,8,"2,34E-06","2,23E-04"
1,147791,4,445991,6,"2,03E-04","8,01E-03"
1,147791,4,447899,13,"8,31E-10","1,91E-06"
1,147791,4,450199,34,"3,17E-10","1,64E-07"
1,147791,4,452531,21,"3,17E-10","1,64E-07"
1,147791,4,454894,22,"3,17E-10","1,64E-07"
1,147791,4,461284,13,"3,22E-10","1,64E-07"
1,147791,4,480092,8,"2,34E-06","2,23E-04"
1,147791,4,625575,6,"2,03E-04","8,01E-03"
1,147791,4,1424488,6,"1,56E-05","2,87E-03"
1,149706,4,305975,8,"2,34E-06","2,23E-04"
1,149706,4,374028,6,"1,56E-05","2,87E-03"
1,149706,4,413878,6,"2,03E-04","8,01E-03"
1,149706,4,426208,7,"2,32E-05","1,44E-03"
1,149706,4,431281,8,"2,34E-06","2,23E-04"
1,149706,4,432170,7,"2,32E-05","1,44E-03"
1,149706,4,432918,6,"2,03E-04","8,01E-03"
1,149706,4,434783,8,"7,14E-08","4,74E-05"
1,149706,4,436612,15,"3,17E-10","1,64E-07"
1,149706,4,438813,10,"1,73E-08","3,62E-06"
1,149706,4,440905,14,"3,17E-10","1,64E-07"
1,149706,4,442783,10,"1,03E-09","1,91E-06"
1,149706,4,444094,8,"2,34E-06","2,23E-04"
1,149706,4,445991,11,"1,56E-09","4,62E-07"
1,149706,4,447899,11,"1,56E-09","4,62E-07"
1,149706,4,450199,51,"3,17E-10","1,64E-07"
1,149706,4,452531,30,"3,17E-10","1,64E-07"
1,149706,4,454894,45,"3,17E-10","1,64E-07"
1,149706,4,458576,6,"1,56E-05","2,87E-03"
1,149706,4,461284,27,"3,17E-10","1,64E-07"
1,149706,4,472969,6,"2,03E-04","8,01E-03"
1,149706,4,480092,8,"2,34E-06","2,23E-04"
1,149706,4,494001,6,"1,56E-05","2,87E-03"
1,149706,4,747243,7,"2,32E-05","1,44E-03"
1,149706,4,1024644,6,"2,03E-04","8,01E-03"
1,149706,4,1057641,6,"1,56E-05","2,87E-03"
1,149706,4,1503664,7,"1,12E-06","4,06E-04"
1,151287,4,434783,8,"7,14E-08","4,74E-05"
1,151287,4,444094,6,"1,56E-05","2,87E-03"
1,151287,4,445991,12,"8,31E-10","1,91E-06"
1,151287,4,447899,8,"7,14E-08","4,74E-05"
1,151287,4,450199,9,"4,80E-09","5,47E-06"
1,151287,4,452531,13,"8,31E-10","1,91E-06"
1,151287,4,454894,9,"4,80E-09","5,47E-06"
1,151287,4,458576,9,"4,80E-09","5,47E-06"
1,152394,4,445991,7,"1,12E-06","4,06E-04"
1,152394,4,447899,6,"1,56E-05","2,87E-03"
1,154558,4,58185,6,"1,56E-05","2,87E-03"
1,154558,4,431281,6,"2,03E-04","8,01E-03"
1,154558,4,436612,10,"1,03E-09","1,91E-06"
1,154558,4,438813,11,"1,56E-09","4,62E-07"
1,154558,4,440905,7,"2,32E-05","1,44E-03"
1,154558,4,442783,11,"8,40E-10","1,91E-06"
1,154558,4,444094,23,"8,31E-10","1,91E-06"
1,154558,4,445991,18,"8,31E-10","1,91E-06"
1,154558,4,447899,7,"2,32E-05","1,44E-03"
1,154558,4,450199,7,"2,32E-05","1,44E-03"
1,154558,4,452531,7,"2,32E-05","1,44E-03"
1,154558,4,454894,6,"2,03E-04","8,01E-03"
1,154558,4,458576,10,"1,03E-09","1,91E-06"
1,154558,4,461284,12,"8,31E-10","1,91E-06"
1,154558,4,467170,9,"4,80E-09","5,47E-06"
1,154558,4,475982,6,"1,56E-05","2,87E-03"
1,154558,4,484972,6,"1,56E-05","2,87E-03"
1,154558,4,499987,7,"1,12E-06","4,06E-04"
1,154558,4,850536,6,"1,56E-05","2,87E-03"
1,161357,4,413878,6,"2,03E-04","8,01E-03"
1,161357,4,434783,6,"1,56E-05","2,87E-03"
1,161357,4,436612,12,"4,01E-10","1,64E-07"
1,161357,4,438813,8,"2,34E-06","2,23E-04"
1,161357,4,440905,6,"2,03E-04","8,01E-03"
1,161357,4,445991,8,"2,34E-06","2,23E-04"
1,161357,4,447899,6,"1,56E-05","2,87E-03"
1,161357,4,450199,15,"3,17E-10","1,64E-07"
1,161357,4,452531,6,"2,03E-04","8,01E-03"
1,161357,4,454894,14,"3,17E-10","1,64E-07"
1,161357,4,461284,7,"2,32E-05","1,44E-03"
1,161357,4,487670,8,"2,34E-06","2,23E-04"
1,167621,4,353766,7,"2,32E-05","1,44E-03"
1,167621,4,368330,6,"2,03E-04","8,01E-03"
1,167621,4,413878,6,"2,03E-04","8,01E-03"
1,167621,4,436612,14,"3,17E-10","1,64E-07"
1,167621,4,438813,6,"2,03E-04","8,01E-03"
1,167621,4,444094,10,"1,73E-08","3,62E-06"
1,167621,4,445991,9,"4,80E-09","5,47E-06"
1,167621,4,447899,7,"1,12E-06","4,06E-04"
1,167621,4,452531,6,"2,03E-04","8,01E-03"
1,167621,4,454894,18,"3,17E-10","1,64E-07"
1,167621,4,461284,16,"3,17E-10","1,64E-07"
1,167621,4,480092,8,"2,34E-06","2,23E-04"
1,167621,4,487670,10,"1,73E-08","3,62E-06"
1,167621,4,494001,9,"2,10E-07","3,01E-05"
1,171164,4,400135,6,"2,03E-04","8,01E-03"
1,171164,4,420885,11,"1,56E-09","4,62E-07"
1,171164,4,432170,11,"1,56E-09","4,62E-07"
1,171164,4,436612,10,"1,73E-08","3,62E-06"
1,171164,4,438813,8,"2,34E-06","2,23E-04"
1,171164,4,450199,12,"4,01E-10","1,64E-07"
1,171164,4,452531,7,"2,32E-05","1,44E-03"
1,171164,4,454894,26,"3,17E-10","1,64E-07"
1,171164,4,461284,14,"3,17E-10","1,64E-07"
1,171164,4,487670,18,"3,17E-10","1,64E-07"
1,171164,4,494001,9,"2,10E-07","3,01E-05"
1,174886,4,384476,13,"3,22E-10","1,64E-07"
1,174886,4,400135,12,"4,01E-10","1,64E-07"
1,174886,4,406139,6,"2,03E-04","8,01E-03"
1,174886,4,420885,9,"2,10E-07","3,01E-05"
1,174886,4,431281,7,"2,32E-05","1,44E-03"
1,174886,4,432170,6,"2,03E-04","8,01E-03"
1,174886,4,433754,6,"2,03E-04","8,01E-03"
1,174886,4,438813,13,"3,22E-10","1,64E-07"
1,174886,4,445991,12,"4,01E-10","1,64E-07"
1,174886,4,447899,6,"2,03E-04","8,01E-03"
1,174886,4,450199,10,"1,73E-08","3,62E-06"
1,174886,4,452531,6,"2,03E-04","8,01E-03"
1,174886,4,454894,13,"3,22E-10","1,64E-07"
1,174886,4,461284,12,"4,01E-10","1,64E-07"
1,174886,4,487670,9,"2,10E-07","3,01E-05"
1,174886,4,494001,6,"2,03E-04","8,01E-03"
1,180329,4,393856,6,"2,03E-04","8,01E-03"
1,180329,4,413878,13,"3,22E-10","1,64E-07"
1,180329,4,436612,7,"2,32E-05","1,44E-03"
1,180329,4,454894,14,"3,17E-10","1,64E-07"
1,180329,4,480092,7,"2,32E-05","1,44E-03"
1,184233,4,420885,6,"2,03E-04","8,01E-03"
1,184795,4,400135,7,"2,32E-05","1,44E-03"
1,184795,4,426208,6,"2,03E-04","8,01E-03"
1,184795,4,436612,9,"2,10E-07","3,01E-05"
1,184795,4,450199,8,"2,34E-06","2,23E-04"
1,184795,4,452531,10,"1,73E-08","3,62E-06"
1,184795,4,454894,8,"2,34E-06","2,23E-04"
1,184795,4,461284,7,"2,32E-05","1,44E-03"
1,184795,4,768403,6,"2,03E-04","8,01E-03"
1,186272,4,384476,6,"2,03E-04","8,01E-03"
1,186272,4,393856,9,"2,10E-07","3,01E-05"
1,186272,4,447899,6,"2,03E-04","8,01E-03"
1,186272,4,461284,9,"2,10E-07","3,01E-05"
1,186272,4,487670,9,"2,10E-07","3,01E-05"
1,186272,4,499987,7,"2,32E-05","1,44E-03"
1,186272,4,524181,8,"2,34E-06","2,23E-04"
1,187825,4,454894,6,"2,03E-04","8,01E-03"
1,188722,4,413878,7,"2,32E-05","1,44E-03"
1,188722,4,420885,6,"2,03E-04","8,01E-03"
1,188722,4,436612,9,"2,10E-07","3,01E-05"
1,188722,4,445991,6,"2,03E-04","8,01E-03"
1,188722,4,461284,6,"2,03E-04","8,01E-03"
1,188722,4,917193,6,"2,03E-04","8,01E-03"
1,191604,4,360935,9,"4,80E-09","5,47E-06"
1,191604,4,400135,8,"2,34E-06","2,23E-04"
1,191604,4,413878,7,"2,32E-05","1,44E-03"
1,191604,4,426208,8,"2,34E-06","2,23E-04"
1,191604,4,436612,9,"2,10E-07","3,01E-05"
1,191604,4,444094,6,"2,03E-04","8,01E-03"
1,191604,4,450199,10,"1,73E-08","3,62E-06"
1,191604,4,454894,6,"2,03E-04","8,01E-03"
1,191604,4,461284,6,"2,03E-04","8,01E-03"
1,191604,4,645383,7,"2,32E-05","1,44E-03"
1,191604,4,1065394,7,"1,12E-06","4,06E-04"
1,196340,4,360935,7,"1,12E-06","4,06E-04"
1,199404,4,393856,7,"2,32E-05","1,44E-03"
1,199404,4,413878,6,"2,03E-04","8,01E-03"
1,199404,4,420885,7,"2,32E-05","1,44E-03"
1,199404,4,454894,6,"2,03E-04","8,01E-03"
1,204567,4,436612,8,"2,34E-06","2,23E-04"
1,204567,4,445991,6,"2,03E-04","8,01E-03"
1,204567,4,461284,7,"2,32E-05","1,44E-03"
1,226931,4,66675,6,"2,03E-04","8,01E-03"
1,226931,4,310992,6,"2,03E-04","8,01E-03"
1,226931,4,353766,8,"2,34E-06","2,23E-04"
1,226931,4,400135,12,"4,01E-10","1,64E-07"
1,226931,4,436612,6,"2,03E-04","8,01E-03"
1,226931,4,454894,13,"3,22E-10","1,64E-07"
1,226931,4,461284,6,"2,03E-04","8,01E-03"
1,226931,4,1518337,7,"2,32E-05","1,44E-03"
1,3437,5,64226,7,"1,12E-06","4,06E-04"
1,5091,5,30547,6,"2,03E-04","8,01E-03"
1,5091,5,114288,9,"2,10E-07","3,01E-05"
1,5091,5,190224,6,"2,03E-04","8,01E-03"
1,5091,5,213376,9,"2,10E-07","3,01E-05"
1,5091,5,223021,8,"2,34E-06","2,23E-04"
1,5091,5,501715,6,"2,03E-04","8,01E-03"
1,13056,5,12833,7,"2,32E-05","1,44E-03"
1,13056,5,223021,11,"1,56E-09","4,62E-07"
1,13056,5,351755,6,"2,03E-04","8,01E-03"
1,13056,5,376281,7,"2,32E-05","1,44E-03"
1,13056,5,549262,6,"2,03E-04","8,01E-03"
1,20164,5,17098,7,"2,32E-05","1,44E-03"
1,20164,5,28165,12,"4,01E-10","1,64E-07"
1,20164,5,47730,6,"2,03E-04","8,01E-03"
1,20164,5,129827,6,"2,03E-04","8,01E-03"
1,20164,5,213376,8,"2,34E-06","2,23E-04"
1,20164,5,223021,7,"2,32E-05","1,44E-03"
1,20164,5,287231,7,"2,32E-05","1,44E-03"
1,26147,5,17098,6,"2,03E-04","8,01E-03"
1,26147,5,24797,10,"1,73E-08","3,62E-06"
1,26147,5,28165,6,"2,03E-04","8,01E-03"
1,26147,5,32706,9,"2,10E-07","3,01E-05"
1,26147,5,38308,12,"8,31E-10","1,91E-06"
1,26147,5,59717,6,"2,03E-04","8,01E-03"
1,26147,5,66519,13,"3,22E-10","1,64E-07"
1,26147,5,77479,8,"2,34E-06","2,23E-04"
1,26147,5,89693,7,"2,32E-05","1,44E-03"
1,26147,5,91565,7,"2,32E-05","1,44E-03"
1,26147,5,104164,7,"2,32E-05","1,44E-03"
1,26147,5,137734,7,"2,32E-05","1,44E-03"
1,26147,5,141698,6,"2,03E-04","8,01E-03"
1,26147,5,159704,7,"2,32E-05","1,44E-03"
1,26147,5,190224,10,"1,73E-08","3,62E-06"
1,26147,5,211308,12,"4,01E-10","1,64E-07"
1,26147,5,223021,7,"2,32E-05","1,44E-03"
1,26147,5,327209,11,"1,56E-09","4,62E-07"
1,26147,5,334522,6,"2,03E-04","8,01E-03"
1,26147,5,347339,6,"2,03E-04","8,01E-03"
1,26147,5,351755,6,"2,03E-04","8,01E-03"
1,26147,5,357174,7,"2,32E-05","1,44E-03"
1,26147,5,359240,6,"2,03E-04","8,01E-03"
1,26147,5,451342,7,"2,32E-05","1,44E-03"
1,31834,5,24797,16,"3,17E-10","1,64E-07"
1,31834,5,28165,10,"1,73E-08","3,62E-06"
1,31834,5,38308,20,"3,17E-10","1,64E-07"
1,31834,5,51597,13,"3,22E-10","1,64E-07"
1,31834,5,85047,6,"2,03E-04","8,01E-03"
1,31834,5,88358,7,"2,32E-05","1,44E-03"
1,31834,5,91565,11,"1,56E-09","4,62E-07"
1,31834,5,110109,8,"2,34E-06","2,23E-04"
1,31834,5,115618,8,"7,14E-08","4,74E-05"
1,31834,5,133736,15,"3,17E-10","1,64E-07"
1,31834,5,148187,7,"2,32E-05","1,44E-03"
1,31834,5,154461,8,"2,34E-06","2,23E-04"
1,31834,5,177742,11,"1,56E-09","4,62E-07"
1,31834,5,190224,8,"2,34E-06","2,23E-04"
1,31834,5,213376,13,"3,22E-10","1,64E-07"
1,31834,5,223021,8,"2,34E-06","2,23E-04"
1,31834,5,225190,6,"2,03E-04","8,01E-03"
1,31834,5,232670,6,"2,03E-04","8,01E-03"
1,31834,5,250100,7,"1,12E-06","4,06E-04"
1,31834,5,271787,7,"2,32E-05","1,44E-03"
1,31834,5,300977,13,"3,22E-10","1,64E-07"
1,31834,5,315506,6,"1,56E-05","2,87E-03"
1,31834,5,320622,10,"1,73E-08","3,62E-06"
1,31834,5,347339,13,"3,22E-10","1,64E-07"
1,31834,5,376281,10,"1,73E-08","3,62E-06"
1,31834,5,415818,6,"2,03E-04","8,01E-03"
1,31834,5,451342,6,"2,03E-04","8,01E-03"
1,31834,5,461613,10,"1,73E-08","3,62E-06"
1,31834,5,467848,7,"2,32E-05","1,44E-03"
1,31834,5,473925,7,"1,12E-06","4,06E-04"
1,31834,5,501715,9,"2,10E-07","3,01E-05"
1,45869,5,24797,10,"1,73E-08","3,62E-06"
1,45869,5,28165,6,"2,03E-04","8,01E-03"
1,45869,5,38308,23,"3,17E-10","1,64E-07"
1,45869,5,54216,6,"2,03E-04","8,01E-03"
1,45869,5,59717,9,"2,10E-07","3,01E-05"
1,45869,5,64226,8,"2,34E-06","2,23E-04"
1,45869,5,96600,6,"2,03E-04","8,01E-03"
1,45869,5,104164,11,"1,56E-09","4,62E-07"
1,45869,5,114288,9,"2,10E-07","3,01E-05"
1,45869,5,129827,6,"2,03E-04","8,01E-03"
1,45869,5,141698,9,"2,10E-07","3,01E-05"
1,45869,5,163912,9,"2,10E-07","3,01E-05"
1,45869,5,166959,6,"1,56E-05","2,87E-03"
1,45869,5,190224,9,"2,10E-07","3,01E-05"
1,45869,5,197380,6,"1,56E-05","2,87E-03"
1,45869,5,203160,8,"2,34E-06","2,23E-04"
1,45869,5,207955,6,"1,56E-05","2,87E-03"
1,45869,5,213376,9,"2,10E-07","3,01E-05"
1,45869,5,223021,7,"2,32E-05","1,44E-03"
1,45869,5,232670,8,"2,34E-06","2,23E-04"
1,45869,5,263513,6,"1,56E-05","2,87E-03"
1,45869,5,264863,6,"1,56E-05","2,87E-03"
1,45869,5,295091,7,"2,32E-05","1,44E-03"
1,45869,5,342423,9,"4,80E-09","5,47E-06"
1,45869,5,347339,7,"2,32E-05","1,44E-03"
1,45869,5,351755,15,"3,17E-10","1,64E-07"
1,45869,5,357174,8,"2,34E-06","2,23E-04"
1,45869,5,365329,14,"3,17E-10","1,64E-07"
1,45869,5,403741,7,"1,12E-06","4,06E-04"
1,45869,5,408132,7,"2,32E-05","1,44E-03"
1,45869,5,461613,8,"2,34E-06","2,23E-04"
1,45869,5,473925,7,"2,32E-05","1,44E-03"
1,45869,5,494114,11,"1,56E-09","4,62E-07"
1,45869,5,515213,7,"2,32E-05","1,44E-03"
1,45869,5,524369,6,"1,56E-05","2,87E-03"
1,57623,5,38308,8,"2,34E-06","2,23E-04"
1,57623,5,110109,6,"2,03E-04","8,01E-03"
1,57623,5,154461,8,"2,34E-06","2,23E-04"
1,57623,5,155627,8,"2,34E-06","2,23E-04"
1,57623,5,431016,6,"2,03E-04","8,01E-03"
1,57623,5,549262,6,"2,03E-04","8,01E-03"
1,60374,5,24797,6,"2,03E-04","8,01E-03"
1,60374,5,28165,7,"2,32E-05","1,44E-03"
1,60374,5,38308,6,"2,03E-04","8,01E-03"
1,60374,5,137734,6,"2,03E-04","8,01E-03"
1,60374,5,148187,6,"2,03E-04","8,01E-03"
1,60374,5,177742,7,"2,32E-05","1,44E-03"
1,60374,5,426075,6,"2,03E-04","8,01E-03"
1,64761,5,190224,8,"2,34E-06","2,23E-04"
1,64761,5,461613,6,"2,03E-04","8,01E-03"
1,64761,5,524369,6,"2,03E-04","8,01E-03"
1,71123,5,28165,9,"4,80E-09","5,47E-06"
1,71123,5,110109,11,"8,40E-10","1,91E-06"
1,71123,5,129827,6,"1,56E-05","2,87E-03"
1,71123,5,154461,6,"2,03E-04","8,01E-03"
1,71123,5,177742,7,"2,32E-05","1,44E-03"
1,71123,5,223021,8,"7,14E-08","4,74E-05"
1,75881,5,24797,6,"2,03E-04","8,01E-03"
1,75881,5,28165,8,"2,34E-06","2,23E-04"
1,75881,5,64226,6,"2,03E-04","8,01E-03"
1,75881,5,82143,7,"2,32E-05","1,44E-03"
1,75881,5,89693,9,"2,10E-07","3,01E-05"
